model,test_file,k,hit,ndcg
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,1,0.351699808,0.351699808
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,2,0.488518281,0.438022653
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,3,0.573765234,0.48064613
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,4,0.632969852,0.506144171
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,5,0.677421424,0.523340386
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,6,0.712572162,0.535861332
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,7,0.741180244,0.545397359
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,8,0.762283515,0.5520547
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,9,0.780436177,0.557519196
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,10,0.796792816,0.562247325
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,11,0.810904426,0.566183659
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,12,0.822835151,0.569407796
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,13,0.833675433,0.572254991
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,14,0.842206543,0.574438597
rs_all_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,15,0.850160359,0.576427051
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,1,0.342206543,0.342206543
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,2,0.483258499,0.431200419
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,3,0.566837716,0.472990027
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,4,0.626491341,0.498681445
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,5,0.671648493,0.516150616
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,6,0.708210391,0.529174227
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,7,0.737652341,0.53898821
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,8,0.761128929,0.546394249
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,9,0.782039769,0.552689039
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,10,0.797819115,0.557250293
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,11,0.811032713,0.560936133
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,12,0.823027582,0.564177604
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,13,0.83380372,0.567007952
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,14,0.842270686,0.56917514
rs_all_no_rel_sample_5_wp_1.pt,test_inters_rs_all_sample_5.txt,15,0.850994227,0.571356025
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,1,0.355163566,0.355163566
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,2,0.489865298,0.440150897
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,3,0.571840924,0.48113871
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,4,0.629121232,0.505807995
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,5,0.675881976,0.523897521
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,6,0.707633098,0.535207499
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,7,0.737267479,0.545085626
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,8,0.759717768,0.552167903
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,9,0.778704298,0.557883418
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,10,0.793457344,0.562148005
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,11,0.808274535,0.566281156
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,12,0.820718409,0.569643965
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,13,0.831943554,0.572592244
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,14,0.841949968,0.575153466
rs_all_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,15,0.85035279,0.577254172
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,1,0.352405388,0.352405388
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,2,0.486786402,0.437190368
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,3,0.569211033,0.478402683
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,4,0.628351507,0.503873099
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,5,0.672867223,0.521094129
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,6,0.708659397,0.533843559
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,7,0.73797306,0.543614779
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,8,0.759846055,0.550514941
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,9,0.779153303,0.556327002
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,10,0.793393201,0.560443256
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,11,0.807504811,0.56437959
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,12,0.819563823,0.567638395
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,13,0.831109686,0.57067091
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,14,0.840346376,0.573035115
rs_all_no_rel_sample_5_wp_10.pt,test_inters_rs_all_sample_5.txt,15,0.848620911,0.575103749
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,1,0.349903784,0.349903784
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,2,0.491019885,0.438938131
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,3,0.573636947,0.480246662
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,4,0.62944195,0.504280569
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,5,0.674983964,0.521898625
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,6,0.710391276,0.534510964
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,7,0.736626042,0.543255886
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,8,0.758242463,0.550075107
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,9,0.775817832,0.55536582
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,10,0.791148172,0.559797282
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,11,0.803720334,0.563304198
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,12,0.814239897,0.566146986
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,13,0.823220013,0.568505609
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,14,0.83258499,0.57090265
rs_all_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,15,0.839769083,0.572698673
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,1,0.337844772,0.337844772
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,2,0.478447723,0.426555357
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,3,0.563373958,0.469018475
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,4,0.626106479,0.496035901
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,5,0.670044901,0.513033603
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,6,0.703271328,0.524869095
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,7,0.731751123,0.53436236
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,8,0.75452213,0.541545813
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,9,0.774021809,0.547415801
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,10,0.790570879,0.552199555
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,11,0.803207184,0.555724363
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,12,0.815586915,0.559069839
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,13,0.825978191,0.561799103
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,14,0.835343169,0.564196144
rs_all_no_rel_sample_5_wp_0.1.pt,test_inters_rs_all_sample_5.txt,15,0.84355356,0.566248742
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,1,0.357729314,0.357729314
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,2,0.498011546,0.446237548
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,3,0.580885183,0.487674366
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,4,0.635599743,0.511238645
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,5,0.679281591,0.52813709
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,6,0.712443874,0.539949734
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,7,0.739448364,0.548951231
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,8,0.76080821,0.555689512
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,9,0.779666453,0.561366409
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,10,0.794740218,0.565723704
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,11,0.808082104,0.569445329
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,12,0.819435536,0.572513459
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,13,0.827710071,0.574686762
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,14,0.835214881,0.576607678
rs_all_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,15,0.843040411,0.578564061
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,1,0.353495831,0.353495831
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,2,0.49268762,0.441316072
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,3,0.576715843,0.483330184
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,4,0.637139192,0.509353103
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,5,0.678704298,0.525432681
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,6,0.712636305,0.537519506
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,7,0.737844772,0.545922329
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,8,0.759204618,0.55266061
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,9,0.775625401,0.557603758
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,10,0.789352149,0.561571678
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,11,0.801282874,0.56489967
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,12,0.81167415,0.567707789
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,13,0.821167415,0.57020119
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,14,0.828543938,0.572089271
rs_all_no_rel_sample_5_wp_0.01.pt,test_inters_rs_all_sample_5.txt,15,0.835214881,0.573757007
,,,,
np_baseline,test_inters_rs_all_sample_5.txt,1,0.032969852,0.032969852
np_baseline,test_inters_rs_all_sample_5.txt,2,0.064785119,0.053043051
np_baseline,test_inters_rs_all_sample_5.txt,3,0.097690827,0.069495905
np_baseline,test_inters_rs_all_sample_5.txt,4,0.131045542,0.083860999
np_baseline,test_inters_rs_all_sample_5.txt,5,0.16132136,0.095573284
np_baseline,test_inters_rs_all_sample_5.txt,6,0.193008339,0.106860413
np_baseline,test_inters_rs_all_sample_5.txt,7,0.224631174,0.117401358
np_baseline,test_inters_rs_all_sample_5.txt,8,0.256189865,0.127357017
np_baseline,test_inters_rs_all_sample_5.txt,9,0.290699166,0.137745352
np_baseline,test_inters_rs_all_sample_5.txt,10,0.322257858,0.146867859
np_baseline,test_inters_rs_all_sample_5.txt,11,0.353624118,0.155617256
np_baseline,test_inters_rs_all_sample_5.txt,12,0.387363695,0.164734977
np_baseline,test_inters_rs_all_sample_5.txt,13,0.420397691,0.173411341
np_baseline,test_inters_rs_all_sample_5.txt,14,0.453431687,0.181866658
np_baseline,test_inters_rs_all_sample_5.txt,15,0.487171264,0.190301552